accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
361980.4127,-1.035934448,-0.499191284,-2.46875,361980.3826,2.126142113,0.509311183,-4.678191861
361980.4428,-1.380126953,0.880218506,-1.188613892,361980.4177,-1.111102232,1.232591114,-3.7275592
361980.4729,-1.034805298,1.602005005,0.145126343,361980.4529,-3.12031666,2.453194008,-1.393606898
361980.503,-0.618453979,1.483657837,0.785339355,361980.4879,-4.383882201,-0.280117941,0.583842409
361980.5331,-0.733734131,0.595184326,1.295318604,361980.5231,-4.406045028,-2.385775818,1.608283515
361980.5632,-0.305923462,-0.334289551,1.167831421,361980.5582,-2.693400219,-3.067202042,3.743075575
361980.5933,0.531784058,-1.381576538,1.234710693,361980.5933,-0.642536615,-2.511520964,3.852979706
361980.6234,0.979751587,-1.732818604,1.32661438,361980.5933,-0.642536615,-2.511520964,3.852979706
361980.6535,2.490371704,-7.299713135,-0.621688843,361980.6284,0.742850969,-0.293693139,2.203334636
361980.6836,1.113540649,-0.368728638,-1.06161499,361980.6635,-4.308084375,3.613477635,0.670961066
361980.7137,-1.040084839,-0.392089844,-1.434829712,361980.6986,-4.500501492,0.822095991,1.599910536
361980.7438,0.33605957,-0.094558716,-1.235427856,361980.7337,-1.582187732,0.486348875,-0.207189405
361980.7739,-0.253738403,-0.202362061,-1.008773804,361980.7688,0.540763381,-0.028431375,0.027004986
361980.8039,-0.262176514,-0.162902832,-1.052947998,361980.8039,2.777623754,0.017458619,-0.251405603
361980.834,-0.340652466,-0.350341797,-1.645004272,361980.8039,2.777623754,0.017458619,-0.251405603
361980.8642,-0.51651001,-0.679382324,-1.33241272,361980.839,6.92442443,-0.602742597,-1.072697851
361980.8942,-0.793441772,-5.157989502,0.070175171,361980.8742,9.835083733,-1.792581719,-0.822522629
361980.9243,0.129272461,-2.849853516,-2.09954834,361980.9093,2.233782823,2.707308844,-1.084161162
361980.9544,-0.473251343,-1.835144043,-2.624069214,361980.9444,2.253136548,-1.022808056,-4.164874219
361980.9845,-1.500640869,-0.670730591,-2.283432007,361980.9795,-1.335515632,0.484266549,-4.802661087
361981.0146,-1.434555054,0.967163086,-0.625915527,361981.0146,-2.612182328,1.839777461,-2.870529993
361981.0447,-1.238143921,1.483535767,0.348083496,361981.0146,-2.612182328,1.839777461,-2.870529993
361981.0748,-1.413818359,1.362609863,1.209686279,361981.0497,-3.570025498,-0.856195638,0.173290294
361981.1049,-0.904373169,0.51940918,1.283737183,361981.0848,-3.048758054,-3.274964027,3.111291473
361981.135,-0.09362793,-0.634719849,1.248519897,361981.1199,-1.26911983,-3.606940373,5.466204184
361981.1651,0.875732422,-1.838638306,0.672332764,361981.1551,-0.603653398,-1.297685429,4.322514447
361981.1952,1.332595825,-1.710845947,1.229370117,361981.1901,-0.102529039,-1.142812757,1.361997839
361981.2253,1.464248657,-2.881515503,0.160339355,361981.2253,-3.379383644,3.435481801,-2.346694728
361981.2554,0.620361328,-0.894485474,-1.113464355,361981.2253,-3.379383644,3.435481801,-2.346694728
361981.2855,-1.289215088,-0.609344482,-1.368988037,361981.2604,-5.551765691,0.490556936,2.641056853
361981.3156,0.374710083,-0.231674194,-1.377151489,361981.2955,-3.567357011,2.142342122,-1.444065013
361981.3457,-0.36907959,-0.179153442,-0.98789978,361981.3306,-0.863476188,0.200177835,0.164975106
361981.3757,-0.1015625,-0.311828613,-1.020614624,361981.3657,0.801671143,-0.29143611,0.183445993
361981.4058,-0.287582397,-0.093078613,-1.092727661,361981.4008,2.974149063,-0.43815791,-0.155881477
361981.4359,-0.632385254,-0.392990112,-1.584686279,361981.4359,6.5572118,-0.341230032,-1.652067215
361981.466,-0.700241089,-1.090927124,-0.904495239,361981.4359,6.5572118,-0.341230032,-1.652067215
361981.4961,-2.025665283,-4.903396606,-0.02911377,361981.471,8.468392072,-2.173138118,-1.31121189
361981.5262,0.452697754,-3.476333618,-2.169540405,361981.5061,3.669906822,3.87386102,-0.598747589
361981.5563,-0.139450073,-2.071716309,-2.01348877,361981.5412,2.887547858,-0.609333122,-2.738101112
361981.5864,-0.968276978,-1.328033447,-2.823379517,361981.5764,1.344419112,-0.250492937,-5.005191824
361981.6165,-1.566879272,0.41192627,-1.654403687,361981.6115,-1.996455223,1.617915103,-3.77528278
361981.6466,-1.336715698,1.411026001,-0.276138306,361981.6466,-3.684527577,1.136842217,-1.208702292
361981.6767,-1.148010254,1.635452271,0.778320313,361981.6466,-3.684527577,1.136842217,-1.208702292
361981.7068,-1.168777466,0.870452881,1.299972534,361981.6817,-3.908217129,-2.256207705,1.747142865
361981.7369,-0.226913452,0.044570923,1.356933594,361981.7168,-2.7857171,-3.421541218,4.317245916
361981.767,0.58366394,-1.051940918,1.401153564,361981.7519,-1.226572636,-2.419713812,4.584065096
361981.7971,0.903579712,-2.205932617,0.955383301,361981.787,-0.108199974,-1.479558558,2.995874066
361981.8272,1.613998413,-1.621643066,0.752960205,361981.8221,0.574400704,-0.433109888,0.512901923
