accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
361074.5727,-0.04524231,0.465621948,0.175415039,361074.5597,-3.200019745,-1.638479767,1.002485473
361074.6028,-0.297363281,-0.340454102,0.140563965,361074.5948,-4.277558158,-1.96009322,1.279692313
361074.6329,-0.220962524,-0.873565674,0.838943481,361074.6299,-2.977375217,-1.911234601,1.847617541
361074.663,0.241592407,-1.668762207,0.440795898,361074.6299,-2.977375217,-1.911234601,1.847617541
361074.6931,0.40083313,-2.355072021,0.094970703,361074.665,-2.321809352,-1.050888426,1.327868365
361074.7232,0.483398438,-1.713806152,1.066833496,361074.7001,-1.475873276,-1.051462604,0.822470697
361074.7533,0.075469971,-1.132766724,1.004318237,361074.7352,1.6562822,-0.912143592,0.003260508
361074.7834,3.89642334,-2.915420532,-3.12852478,361074.7703,-4.056040147,5.258681084,-1.467585252
361074.8135,0.807327271,0.165084839,-1.043746948,361074.8054,-1.760335632,-0.434209507,0.493232614
361074.8436,-0.016921997,-0.071807861,-1.003738403,361074.8405,0.280266279,-0.032669263,-0.131303163
361074.8736,-0.044586182,-0.531585693,-0.879470825,361074.8405,0.280266279,-0.032669263,-0.131303163
361074.9037,-0.187896729,-0.422164917,-0.885101318,361074.8757,-0.12288784,-0.079726255,0.125192806
361074.9338,-0.091766357,-0.27645874,-0.949996948,361074.9107,-0.292915229,0.253359564,-0.162138307
361074.9639,-0.017318726,-0.311508179,-0.975921631,361074.9459,0.235470845,0.116442191,-0.167546655
361074.994,-0.033798218,-0.234893799,-1.036102295,361074.9809,0.920840677,-0.084623808,-0.024482174
361075.0241,0.062957764,-0.065643311,-1.116897583,361075.0161,2.506617285,0.348324693,-0.128689537
361075.0542,0.473007202,-0.691467285,-1.528640747,361075.0512,4.890316371,-2.970998277,0.932753796
361075.0843,1.111999512,-1.589752197,-1.740982056,361075.0512,4.890316371,-2.970998277,0.932753796
361075.1144,-1.088485718,-3.032180786,-1.421463013,361075.0863,3.504334369,-7.858674124,-0.237570215
361075.1445,0.176879883,-1.126190186,-0.746322632,361075.1214,-0.376339816,1.739536877,-2.418722849
361075.1745,-0.042907715,-0.917144775,-1.830780029,361075.1565,1.514567941,1.384822195,-3.747989374
361075.2046,-0.587173462,-0.623214722,-2.748199463,361075.1916,2.229108976,1.725985381,-4.320864619
361075.2348,-0.748245239,-0.291015625,-2.757171631,361075.2267,0.700290992,1.934038716,-3.286397244
361075.2648,-0.606536865,0.395126343,-1.635177612,361075.2618,-0.605265676,1.248098967,-2.204307489
361075.2949,-0.879928589,0.694869995,-0.524139404,361075.2618,-0.605265676,1.248098967,-2.204307489
361075.325,-0.744674683,0.500106812,-0.201873779,361075.2969,-1.657284081,0.18254185,-1.07804468
361075.3551,-0.250045776,0.342529297,0.234359741,361075.332,-2.928108867,-1.283142439,0.548468439
361075.3852,-0.665344238,-0.327590942,0.672485352,361075.3671,-3.454270669,-1.474484704,1.072686666
361075.4153,-0.573638916,-0.910797119,0.737548828,361075.4022,-2.691436404,-1.82628349,2.96611111
361075.4454,0.037750244,-1.503662109,0.652236938,361075.4374,-1.550351239,-1.643502755,3.490132796
361075.4755,0.702026367,-1.799530029,0.943008423,361075.4724,-0.30026875,-0.426323887,1.714596639
361075.5056,0.027282715,-1.62612915,1.107833862,361075.4724,-0.30026875,-0.426323887,1.714596639
361075.5357,1.577606201,-5.939468384,-5.865905762,361075.5076,2.231842977,-1.065184009,1.409587197
361075.5658,0.272354126,-0.279022217,-1.127655029,361075.5427,-2.600707832,0.687146428,-0.039611592
361075.5958,-0.079864502,-0.125640869,-0.993347168,361075.5778,-1.034113973,-0.224739371,0.306722122
361075.6259,-0.084960938,-0.35017395,-0.878723145,361075.6129,0.016268186,-0.001964081,-0.025394573
361075.656,-0.105606079,-0.606933594,-0.813919067,361075.648,-0.515778669,0.124049245,0.03213237
361075.6861,-0.08631897,-0.263458252,-0.963867188,361075.6831,-0.480414021,0.303265871,-0.243878444
361075.7162,-0.039031982,-0.32220459,-0.971099854,361075.6831,-0.480414021,0.303265871,-0.243878444
361075.7463,-0.05758667,-0.350799561,-0.982116699,361075.7182,0.144886083,0.066763052,-0.072805764
361075.7764,-0.07989502,-0.26473999,-1.038101196,361075.7533,0.761261934,-0.001037568,-0.006766027
361075.8065,-0.056533813,-0.100814819,-1.078460693,361075.7884,2.111738673,0.567091658,-0.240898101
361075.8366,0.192901611,-0.440826416,-1.407333374,361075.8235,4.579867421,-0.320701853,-0.404618059
361075.8667,0.394577026,-1.130477905,-1.186813354,361075.8586,5.96939196,-3.056517973,-0.160478891
361075.8967,-0.594192505,-5.033462524,-2.742126465,361075.8937,0.79417541,0.923520084,-0.963293329
361075.9268,0.488571167,-2.152420044,-1.424545288,361075.8937,0.79417541,0.923520084,-0.963293329
361075.9569,0.173522949,-1.473953247,-3.491897583,361075.9289,3.360256821,1.355026749,-1.535248719
361075.987,0.180496216,-0.426345825,-3.451034546,361075.9639,1.25912978,2.222976248,-2.58828312
361076.0171,-0.94342041,0.708648682,-1.577758789,361075.9991,-1.367500729,1.735818571,-3.118473752
361076.0472,-1.563110352,1.165237427,-0.601715088,361076.0341,-1.897968863,1.201439053,-0.754816286
361076.0773,-1.196853638,1.072189331,-0.070175171,361076.0693,-3.097607352,0.038677621,1.702033177
361076.1074,-0.254730225,0.883331299,0.282058716,361076.1044,-3.7262167,-1.226106849,1.075850768
361076.1375,-0.736633301,-0.183517456,0.614547729,361076.1044,-3.7262167,-1.226106849,1.075850768
361076.1676,-0.760482788,-1.154541016,0.640289307,361076.1395,-3.652681496,-1.855778532,1.204681984
361076.1977,0.37387085,-2.004058838,0.895812988,361076.1746,-2.614021507,-1.883491386,3.401334483
361076.2278,0.327438354,-1.76071167,2.318939209,361076.2097,0.093282011,-0.889304056,2.132807473
361076.2578,1.375640869,-5.008682251,-3.509887695,361076.2448,3.461331774,-0.23496511,1.745853096
361076.2879,-0.013900757,0.336303711,-1.563491821,361076.2799,-2.673618258,0.188199469,-0.171841801
361076.3181,-0.088516235,-0.140731812,-0.976516724,361076.315,-1.526168671,-0.067988372,0.192221109
361076.3481,-0.042297363,-0.225982666,-1.011291504,361076.315,-1.526168671,-0.067988372,0.192221109
361076.3782,-0.04876709,-0.472045898,-0.903396606,361076.3501,-0.301698867,-0.0052166,0.024447819
361076.4083,-0.111282349,-0.459854126,-0.895980835,361076.3852,-0.382351103,-0.006754043,0.07683566
361076.4384,-0.055038452,-0.292129517,-0.965667725,361076.4204,-0.449886205,0.109670838,-0.040698694
361076.4685,-0.082641602,-0.317245483,-0.959533691,361076.4554,0.080775274,0.04102866,-0.072504561
361076.4986,-0.093719482,-0.343490601,-0.950454712,361076.4906,0.420518462,0.019479425,-0.043370111
361076.5287,-0.131317139,-0.151153564,-1.047775269,361076.5256,1.441655917,0.352232615,-0.232742436
361076.5588,0.03137207,0.01272583,-1.144012451,361076.5256,1.441655917,0.352232615,-0.232742436
361076.5889,0.210510254,-0.828720093,-1.447647095,361076.5608,4.036798275,0.163644325,-0.250267368
361076.619,-0.838378906,-3.686233521,0.195388794,361076.5959,6.128697463,-1.240441846,0.016059927
361076.649,-0.049362183,-1.647201538,0.314498901,361076.631,2.023747298,1.225306303,1.467527196
361076.6791,0.471374512,-2.317474365,-2.800872803,361076.6661,3.975953566,-0.606610572,0.933296282
361076.7092,0.971984863,-1.305618286,-3.317733765,361076.7012,3.251724485,0.232219924,-2.832849459
361076.7393,-0.176300049,-0.320953369,-2.960708618,361076.7363,0.708518562,0.69171508,-4.233750756
